#,Game,Players_2_weeks,Hours_2_weeks,Players_total,Hours_total,Share,Tag,top3_tag
34,Battle Royale Trainer,0.37%,01:17,0.61%,03:43,4.31‱,Shooter,"Atmospheric,Open World,Shooter"
35,Stardew Valley,0.35%,03:24,2.26%,36:31,16.28‱,"Atmospheric,Crafting,Open World","Atmospheric,Open World,Shooter"
36,NieR:Automata,0.33%,04:39,1.04%,21:44,7.75‱,"Atmospheric,Female Protagonist,Open World,Sci-fi,Anime","Atmospheric,Open World,Shooter"
37,Lost Castle,0.33%,04:10,2.98%,21:06,21.35‱,,"Atmospheric,Open World,Shooter"
38,Warface,0.31%,05:09,2.94%,07:28,31.21‱,"Open World,Zombies,Shooter,Strategy","Atmospheric,Open World,Shooter"
39,Killing Floor 2,0.3%,08:02,0.81%,38:23,6.04‱,"Atmospheric,Zombies,Shooter,Gore","Atmospheric,Open World,Shooter"
40,Cities: Skylines,0.3%,07:53,2.15%,28:20,16.02‱,"City Builder,Strategy","Atmospheric,Open World,Shooter"
41,Unturned,0.29%,04:07,6.68%,24:57,54.32‱,"Atmospheric,Crafting,Open World,Zombies,Shooter","Atmospheric,Open World,Shooter"
42,Mirror,0.29%,01:21,0.74%,05:04,5.93‱,"Female Protagonist,Anime","Atmospheric,Open World,Shooter"
43,CPUCores :: Maximize Your FPS,0.29%,17:10,0.68%,120:49,4.86‱,Software,"Atmospheric,Open World,Shooter"
44,Don't Starve,0.28%,08:32,3.57%,29:08,29.3‱,"Crafting,Open World","Atmospheric,Open World,Shooter"
45,Sid Meier's Civilization V,0.28%,08:22,2.38%,53:55,17.82‱,"Diplomacy,Strategy","Atmospheric,Open World,Shooter"
46,Stick Fight: The Game,0.27%,00:45,1.37%,04:05,10.01‱,"Shooter,Fighting,Strategy","Atmospheric,Open World,Shooter"
47,FOR HONOR,0.27%,07:07,0.73%,41:38,5.18‱,"Atmospheric,Fantasy,Gore,Medieval,Fighting,MOBA,Strategy","Atmospheric,Open World,Shooter"
48,FINAL FANTASY XV WINDOWS EDITION,0.26%,12:51,0.27%,27:21,2.05‱,"Atmospheric,Open World,Fantasy,Anime","Atmospheric,Open World,Shooter"
49,Torchlight II,0.26%,05:51,1.09%,18:13,8.25‱,"Atmospheric,Fantasy","Atmospheric,Open World,Shooter"
50,Dead Cells,0.26%,03:51,0.86%,17:27,6.17‱,Atmospheric,"Atmospheric,Open World,Shooter"
